date,nav,benchmark_nav
2020-12-24,12943.6780,11707.0823
2020-12-28,12950.2598,11807.6539
2020-12-29,12835.2740,11785.1275
2020-12-30,12885.4577,11801.9461
2020-12-31,12931.3398,11861.9070
2021-01-04,12807.6620,11700.4207
2021-01-05,12979.9462,11781.0037
2021-01-06,13409.9678,11851.4368
2021-01-07,13501.4469,12027.5211
2021-01-08,13436.1044,12096.0510
2021-01-11,13522.1300,12014.5133
2021-01-12,13666.7072,12017.0520
2021-01-13,13583.6047,12049.4121
2021-01-14,13840.5224,12007.2152
2021-01-15,13762.9060,11919.6504
2021-01-19,13851.5570,12013.2434
2021-01-20,13946.6805,12179.4920
2021-01-21,13913.4837,12190.5924
2021-01-22,14037.7690,12147.4460
2021-01-25,14194.2961,12195.3527
2021-01-26,14179.7650,12176.3198
2021-01-27,14156.4881,11878.7214
2021-01-28,14186.9151,11980.8833
2021-01-29,13890.8331,11741.0294
2021-02-01,13987.6526,11936.4649
2021-02-02,14077.9288,12105.2481
2021-02-03,14156.2479,12114.7697
2021-02-04,14402.8213,12252.4597
2021-02-05,14566.5431,12300.6857
2021-02-08,14843.9940,12389.5214
2021-02-09,14927.4581,12381.2686
2021-02-10,14918.2655,12375.8770
2021-02-11,14781.0563,12395.8667
2021-02-12,14734.8216,12457.0975
2021-02-16,14606.6434,12446.3111
2021-02-17,14534.6096,12449.1650
2021-02-18,14448.7407,12396.1829
2021-02-19,14547.0606,12374.2930
2021-02-22,14551.7236,12279.1109
2021-02-23,14497.4493,12294.0231
2021-02-24,14724.4131,12429.4946
2021-02-25,14417.5829,12129.9981
2021-02-26,14329.4106,12067.4954
2021-03-01,14700.3060,12360.0121
2021-03-02,14518.5791,12263.5663
2021-03-03,14479.5375,12101.1254
2021-03-04,14170.2551,11951.3771
2021-03-05,14571.0546,12171.2402
2021-03-08,14842.9002,12110.6439
2021-03-09,14886.9901,12283.5550
2021-03-10,15048.6808,12360.0121
2021-03-11,15213.2342,12485.3369
2021-03-12,15427.3109,12502.1503
2021-03-15,15570.2635,12576.7041
2021-03-16,15438.4854,12560.8413
2021-03-17,15505.6874,12603.6736
2021-03-18,15439.1684,12420.2964
2021-03-19,15537.0842,12397.3134
2021-03-22,15579.7374,12496.3052
2021-03-23,15135.8858,12397.9499
2021-03-24,14908.8197,12334.9241
2021-03-25,15275.9099,12404.3161
2021-03-26,15592.4229,12604.2071
2021-03-29,15352.9745,12597.8451
2021-03-30,15483.9092,12564.4211
2021-03-31,15422.3551,12615.3502
2021-04-01,15490.4081,12751.5861
2021-04-05,15599.6607,12934.6086
2021-04-06,15592.2685,12926.9736
2021-04-07,15473.3868,12941.9316
2021-04-08,15424.3818,13003.3652
2021-04-09,15475.1459,13097.9025
2021-04-12,15607.5965,13102.6752
2021-04-13,15517.9872,13141.5086
2021-04-14,15571.6110,13096.6294
2021-04-15,15689.3794,13237.3157
2021-04-16,15816.5711,13281.5635
2021-04-19,15740.5143,13216.3088
2021-04-20,15668.5093,13119.5469
2021-04-21,15811.8774,13243.6850
2021-04-22,15698.9126,13122.7263
2021-04-23,15756.6407,13265.0091
2021-04-26,15705.4589,13292.7025
2021-04-27,15654.2842,13289.8392
2021-04-28,15616.4134,13286.0201
2021-04-29,15652.7072,13370.6894
2021-04-30,15542.4684,13282.8334
2021-05-03,15738.7774,13311.4826
2021-05-04,15834.0179,13229.3625
2021-05-05,15796.3555,13233.5008
2021-05-06,15995.9492,13339.1749
2021-05-07,16104.2598,13436.2593
2021-05-10,16155.3102,13303.2059
2021-05-11,16073.2685,13184.4792
2021-05-12,15728.3455,12904.3703
2021-05-13,16061.3998,13059.3863
2021-05-14,16184.0544,13259.9170
2021-05-17,16198.5317,13226.1768
2021-05-18,16106.8343,13112.2250
2021-05-19,16017.7615,13077.8472
2021-05-20,16152.4596,13218.5366
2021-05-21,16161.5210,13207.7149
2021-05-24,16180.3167,13342.3585
2021-05-25,16038.7591,13312.7556
2021-05-26,16175.5630,13339.1749
2021-05-27,16236.5830,13346.1755
2021-05-28,16210.9020,13370.0509
2021-06-01,16198.9054,13358.2744
2021-06-02,16243.4338,13379.2823
2021-06-03,16227.7589,13329.6273
2021-06-04,16285.6398,13451.5376
2021-06-07,16524.7487,13438.4850
2021-06-08,16521.3943,13441.3503
