date,nav,benchmark_nav
2021-05-04,15269.0713,13229.3625
2021-05-05,15394.4935,13233.5008
2021-05-06,15668.2420,13339.1749
2021-05-07,15823.9871,13436.2593
2021-05-10,15737.7609,13303.2059
2021-05-11,15565.9834,13184.4792
2021-05-12,15091.6548,12904.3703
2021-05-13,15441.0364,13059.3863
2021-05-14,15699.1527,13259.9170
2021-05-17,15687.3419,13226.1768
2021-05-18,15530.9008,13112.2250
2021-05-19,15444.9670,13077.8472
2021-05-20,15528.0430,13218.5366
2021-05-21,15529.1400,13207.7149
2021-05-24,15622.2118,13342.3585
2021-05-25,15501.6719,13312.7556
2021-05-26,15710.3618,13339.1749
2021-05-27,15770.3557,13346.1755
2021-05-28,15769.8898,13370.0509
2021-06-01,15842.9300,13358.2744
2021-06-02,15760.9736,13379.2823
2021-06-03,15662.0270,13329.6273
2021-06-04,15790.4355,13451.5376
2021-06-07,15769.4651,13438.4850
2021-06-08,15860.8659,13441.3503
2021-06-09,15706.3093,13421.2982
2021-06-10,15669.9562,13483.6865
2021-06-11,15783.6830,13505.9675
2021-06-14,15667.6507,13536.2069
2021-06-15,15667.0817,13511.3757
2021-06-16,15541.9588,13435.9410
2021-06-17,15381.3643,13431.4844
2021-06-18,15153.5334,13250.2862
2021-06-21,15390.2693,13439.9764
2021-06-22,15434.9917,13511.8302
2021-06-23,15390.1557,13495.5462
2021-06-24,15530.8139,13575.3782
2021-06-25,15591.5209,13623.6042
2021-06-28,15556.6360,13651.0677
2021-06-29,15564.9214,13658.4105
2021-06-30,15586.1811,13669.9082
2021-07-01,15781.1993,13745.5915
2021-07-02,15672.5981,13850.6572
2021-07-06,15421.0681,13825.4256
2021-07-07,15412.4387,13874.2892
2021-07-08,15191.1845,13761.2411
2021-07-09,15510.6951,13908.1396
2021-07-12,15573.5867,13957.9548
2021-07-13,15367.9621,13910.3736
2021-07-14,15292.5730,13931.1309
2021-07-15,15273.1051,13883.5497
2021-07-16,15151.4907,13774.6546
2021-07-19,14945.2035,13571.2305
2021-07-20,15201.9123,13765.7102
2021-07-21,15334.4123,13877.1628
2021-07-22,15235.9655,13906.2228
2021-07-23,15379.8201,14049.2918
2021-07-26,15391.8446,14083.7767
2021-07-27,15357.3068,14019.5922
2021-07-28,15421.7781,14013.8387
2021-07-29,15573.9685,14071.9628
2021-07-30,15541.5893,14003.6244
2021-08-02,15547.5762,13974.2420
2021-08-03,15674.7130,14087.9307
2021-08-04,15541.9408,14018.6312
2021-08-05,15681.1628,14107.4118
2021-08-06,15752.0689,14130.7235
2021-08-09,15826.6163,14119.2268
2021-08-10,15939.6570,14136.7901
2021-08-11,16085.2698,14171.9167
2021-08-12,16037.8134,14214.3891
2021-08-13,15959.1989,14240.2582
2021-08-16,16015.8937,14273.7873
2021-08-17,15787.9966,14180.2214
2021-08-18,15699.6744,14025.0192
2021-08-19,15648.2604,14046.7354
2021-08-20,15819.1757,14158.5073
2021-08-23,15868.1285,14283.0521
2021-08-24,16017.9205,14305.7262
2021-08-25,16091.3283,14335.7440
2021-08-26,15876.6050,14251.1174
2021-08-27,16107.6074,14378.5358
2021-08-30,16095.4304,14441.7645
2021-08-31,16087.2034,14420.3717
2021-09-01,16109.4800,14428.0327
2021-09-02,16071.6617,14472.4241
2021-09-03,15999.9159,14468.9087
2021-09-07,15829.6094,14417.1756
2021-09-08,15752.7597,14399.6124
2021-09-09,15746.9882,14337.9791
2021-09-10,15674.9247,14224.9310
2021-09-13,15703.9293,14261.3338
2021-09-14,15556.4684,14184.3744
2021-09-15,15656.5899,14302.8504
2021-09-16,15772.6280,14280.1794
2021-09-17,15734.7477,14141.0719
2021-09-20,15413.4676,13905.2816
2021-09-21,15379.9129,13892.1468
2021-09-22,15548.8254,14027.6630
2021-09-23,15699.5087,14198.0999
2021-09-24,15733.5834,14221.4854
2021-09-27,15872.6322,14180.7997
2021-09-28,15606.2408,13895.0308
2021-09-29,15714.1107,13918.4163
2021-09-30,15375.8237,13748.3019
2021-10-01,15486.0881,13911.6862
2021-10-04,15406.9182,13732.2820
2021-10-05,15424.5838,13875.1670
2021-10-06,15348.7803,13932.8324
2021-10-07,15630.5979,14053.2908
2021-10-08,15570.8089,14027.6630
2021-10-11,15450.6264,13926.1064
2021-10-12,15399.6561,13891.8254
2021-10-13,15381.7933,13941.8039
2021-10-14,15617.9032,14176.3140
2021-10-15,15586.5448,14284.2762
2021-10-18,15712.3344,14326.5666
2021-10-19,15785.0749,14437.0947
2021-10-20,15981.7193,14493.7991
2021-10-21,16063.8596,14531.6018
2021-10-22,15978.3256,14516.5439
2021-10-25,16086.0215,14594.3947
