date,nav,benchmark_nav
2021-03-30,15660.8518,12564.4211
2021-03-31,15545.5079,12615.3502
2021-04-01,15721.6053,12751.5861
2021-04-05,15912.5171,12934.6086
2021-04-06,15912.4415,12926.9736
2021-04-07,15906.7247,12941.9316
2021-04-08,15913.0121,13003.3652
2021-04-09,16018.9152,13097.9025
2021-04-12,16075.1610,13102.6752
2021-04-13,15965.0982,13141.5086
2021-04-14,16067.7086,13096.6294
2021-04-15,16165.7912,13237.3157
2021-04-16,16276.0751,13281.5635
2021-04-19,16203.1352,13216.3088
2021-04-20,15943.0088,13119.5469
2021-04-21,16126.3646,13243.6850
2021-04-22,16056.8773,13122.7263
2021-04-23,16238.8944,13265.0091
2021-04-26,16298.2263,13292.7025
2021-04-27,16307.2599,13289.8392
2021-04-28,16352.1877,13286.0201
2021-04-29,16466.6995,13370.6894
2021-04-30,16229.3714,13282.8334
2021-05-03,16469.4093,13311.4826
2021-05-04,16391.8309,13229.3625
2021-05-05,16468.3378,13233.5008
2021-05-06,16607.6496,13339.1749
2021-05-07,16657.6146,13436.2593
2021-05-10,16498.4802,13303.2059
2021-05-11,16382.5954,13184.4792
2021-05-12,16012.8269,12904.3703
2021-05-13,16298.2187,13059.3863
2021-05-14,16591.8672,13259.9170
2021-05-17,16593.3687,13226.1768
2021-05-18,16378.3289,13112.2250
2021-05-19,16263.4074,13077.8472
2021-05-20,16363.8740,13218.5366
2021-05-21,16441.7915,13207.7149
2021-05-24,16531.9760,13342.3585
2021-05-25,16289.4366,13312.7556
2021-05-26,16524.0955,13339.1749
2021-05-27,16653.0990,13346.1755
2021-05-28,16634.7176,13370.0509
2021-06-01,16787.7797,13358.2744
2021-06-02,16664.3641,13379.2823
2021-06-03,16630.3018,13329.6273
2021-06-04,16636.1877,13451.5376
2021-06-07,16631.0561,13438.4850
2021-06-08,16709.5221,13441.3503
2021-06-09,16620.6787,13421.2982
2021-06-10,16564.0936,13483.6865
2021-06-11,16705.5661,13505.9675
2021-06-14,16620.2117,13536.2069
2021-06-15,16592.9801,13511.3757
2021-06-16,16564.3465,13435.9410
2021-06-17,16319.3661,13431.4844
2021-06-18,15925.4989,13250.2862
2021-06-21,16219.6699,13439.9764
2021-06-22,16238.2391,13511.8302
2021-06-23,16277.2035,13495.5462
2021-06-24,16522.3463,13575.3782
2021-06-25,16608.0225,13623.6042
2021-06-28,16500.0636,13651.0677
2021-06-29,16500.3336,13658.4105
2021-06-30,16663.3607,13669.9082
2021-07-01,16762.8727,13745.5915
2021-07-02,16647.6243,13850.6572
2021-07-06,16474.1215,13825.4256
2021-07-07,16448.9463,13874.2892
